JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458350.543176,168.974348,221560.625000,19.701600
2458350.562466,168.968843,149840.578125,20.126179
2458350.581756,168.963331,126787.648438,20.307481
2458350.601046,168.957815,187545.843750,19.882326
2458350.620336,168.952292,132495.812500,20.259511
2458350.639627,168.946764,149947.125000,20.125092
2458350.658917,168.941231,150436.500000,20.121476
2458350.678207,168.935692,175737.562500,19.952618
2458350.697497,168.930147,201835.890625,19.802205
2458350.716787,168.924597,172217.156250,19.974431
2458350.736077,168.919041,194919.031250,19.839908
2458350.755367,168.913479,215677.156250,19.729955
2458350.774657,168.907912,173370.875000,19.966946
2458350.793948,168.902340,127611.132812,20.299586
2458350.813238,168.896762,184088.328125,19.901663
2458350.832528,168.891178,141992.671875,20.183485
2458350.851818,168.885589,162163.546875,20.039188
2458350.871108,168.879995,146298.609375,20.150891
2458350.890398,168.874395,159395.562500,20.057723
2458350.909688,168.868789,162327.406250,20.037855
2458350.928978,168.863178,219403.375000,19.710647
2458350.948269,168.857561,167151.515625,20.005901
2458350.967559,168.851939,220364.906250,19.705742
2458350.986849,168.846311,214836.234375,19.733250
2458351.006139,168.840678,147969.640625,20.138008
2458351.025429,168.835040,144213.484375,20.165846
2458351.044719,168.829396,183004.171875,19.907130
2458351.064009,168.823747,142412.250000,20.179335
2458351.083299,168.818092,141781.421875,20.184076
2458351.102590,168.812431,164178.593750,20.024754
2458351.121880,168.806766,167794.250000,20.001023
2458351.141170,168.801094,224739.531250,19.683689
2458351.160460,168.795418,156961.687500,20.073324
2458351.179750,168.789736,220690.921875,19.703268
2458351.199040,168.784048,234551.406250,19.637055
2458351.218330,168.778356,158235.125000,20.064314
2458351.237620,168.772657,130755.945312,20.271339
2458351.256911,168.766954,196377.546875,19.829684
2458351.276201,168.761245,142343.468750,20.178990
2458351.295491,168.755530,167450.359375,20.002540
2458351.314781,168.749811,160802.109375,20.046447
2458351.334071,168.744086,180682.718750,19.919805
2458351.353361,168.738355,191141.500000,19.858630
2458351.372651,168.732619,204333.609375,19.786089
2458351.391941,168.726878,185572.234375,19.890577
2458351.411232,168.721132,222509.218750,19.693411
2458351.430522,168.715380,198490.500000,19.817352
2458351.449812,168.709623,141015.015625,20.188459
2458351.469102,168.703860,173764.359375,19.961641
2458351.488392,168.698093,167260.031250,20.002984
2458351.507682,168.692320,161279.328125,20.042438
2458351.526972,168.686541,154955.156250,20.085791
2458351.546262,168.680758,172628.578125,19.968445
2458351.565553,168.674969,169516.187500,19.988119
2458351.584843,168.669174,227424.000000,19.668977
2458351.604133,168.663375,160663.812500,20.046194
2458351.623423,168.657570,230794.453125,19.652846
2458351.642713,168.651760,238004.265625,19.619369
2458351.662003,168.645945,157778.484375,20.065632
2458351.681293,168.640124,136200.531250,20.225225
2458351.700583,168.634298,199263.531250,19.812023
2458351.719874,168.628467,149049.265625,20.127189
2458351.739164,168.622631,162710.203125,20.031897
2458351.758454,168.616790,175276.875000,19.951043
2458351.777744,168.610943,185935.984375,19.886867
2458351.797034,168.605091,225097.265625,19.679271
2458351.816324,168.599234,172842.000000,19.965994
2458351.835614,168.593372,218181.468750,19.712993
2458351.854904,168.587504,240267.750000,19.608220
2458351.874195,168.581632,175793.718750,19.947371
2458351.893485,168.575754,139732.484375,20.196556
2458351.912775,168.569871,202137.484375,19.795603
2458351.932065,168.563983,155585.968750,20.079715
2458351.951355,168.558089,179114.125000,19.926737
2458351.970645,168.552191,169182.546875,19.988593
2458351.989935,168.546287,185553.796875,19.888228
2458352.009225,168.540378,183452.937500,19.900512
2458352.028515,168.534464,227892.171875,19.664921
2458352.047806,168.528545,187050.609375,19.879267
2458352.067096,168.522621,235850.312500,19.627494
2458352.086386,168.516692,227668.968750,19.665746
2458352.105676,168.510757,154357.500000,20.087607
2458352.124966,168.504818,163874.000000,20.022572
2458352.144256,168.498873,190605.765625,19.858427
2458352.163546,168.492923,160674.296875,20.043822
2458352.182836,168.486969,163064.984375,20.027707
2458352.202127,168.481009,182266.031250,19.906765
2458352.221417,168.475044,185645.000000,19.886741
2458352.240707,168.469074,237645.796875,19.618545
2458352.259997,168.463099,163471.343750,20.024686
2458352.279287,168.457118,239254.437500,19.611061
2458352.298577,168.451133,255062.484375,19.541515
2458352.317867,168.445143,169016.375000,19.988230
2458352.337157,168.439148,142751.750000,20.171519
2458352.356448,168.433147,207424.453125,19.765743
2458352.375738,168.427142,157498.750000,20.064620
2458352.395028,168.421132,183803.343750,19.896850
2458352.414318,168.415116,185742.500000,19.885376
2458352.433608,168.409096,205079.312500,19.777770
2458352.452898,168.403070,215921.671875,19.721754
