JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458351.912775,40.299116,167040496.000000,12.478285
2458351.932065,40.299404,167038688.000000,12.477800
2458351.951355,40.299690,167039312.000000,12.477299
2458351.970645,40.299976,167040160.000000,12.476796
2458351.989935,40.300260,167040320.000000,12.476298
2458352.009225,40.300544,167038704.000000,12.475811
2458352.028515,40.300827,167037552.000000,12.475322
2458352.047806,40.301109,167035680.000000,12.474836
2458352.067096,40.301390,167036016.000000,12.474337
2458352.086386,40.301671,167037312.000000,12.473831
2458352.105676,40.301950,167036304.000000,12.473340
2458352.124966,40.302228,167036048.000000,12.472844
2458352.144256,40.302506,167034608.000000,12.472356
2458352.163546,40.302782,167033440.000000,12.471866
2458352.182836,40.303058,167033504.000000,12.471368
2458352.202127,40.303333,167034912.000000,12.470861
2458352.221417,40.303606,167033984.000000,12.470369
2458352.240707,40.303879,167031696.000000,12.469886
2458352.259997,40.304151,167030880.000000,12.469393
2458352.279287,40.304423,167030640.000000,12.468897
2458352.298577,40.304693,167031408.000000,12.468394
2458352.317867,40.304962,167031728.000000,12.467894
2458352.337157,40.305230,167030064.000000,12.467406
2458352.356448,40.305498,167029184.000000,12.466914
2458352.375738,40.305764,167027936.000000,12.466424
2458352.395028,40.306030,167027760.000000,12.465926
2458352.414318,40.306295,167029584.000000,12.465416
2458352.433608,40.306559,167028512.000000,12.464925
2458352.452898,40.306822,167026128.000000,12.464442
2458352.472188,40.307084,167025264.000000,12.463949
2458352.491478,40.307345,167025328.000000,12.463450
2458352.510769,40.307605,167024752.000000,12.462955
2458352.530059,40.307864,167026080.000000,12.462447
2458352.549349,40.308122,167024800.000000,12.461957
2458352.568639,40.308380,167024112.000000,12.461463
2458352.587929,40.308636,167023008.000000,12.460971
2458352.607219,40.308892,167021936.000000,12.460479
2458352.626509,40.309147,167022928.000000,12.459973
2458352.645799,40.309401,167023168.000000,12.459473
2458352.665090,40.309653,167022800.000000,12.458976
2458352.684380,40.309905,167020960.000000,12.458489
2458352.703670,40.310156,167019024.000000,12.458002
2458352.722960,40.310407,167019472.000000,12.457500
2458352.742250,40.310656,167020640.000000,12.456993
2458352.761540,40.310904,167021040.000000,12.456491
2458352.780830,40.311152,167017552.000000,12.456014
2458352.800120,40.311398,167017760.000000,12.455513
2458352.819411,40.311644,167016880.000000,12.455020
2458352.838701,40.311888,167017568.000000,12.454516
2458352.857991,40.312132,167018304.000000,12.454011
2458352.877281,40.312375,167016784.000000,12.453521
2458352.896571,40.312617,167015648.000000,12.453029
2458352.915861,40.312858,167015552.000000,12.452530
2458352.935151,40.313098,167014864.000000,12.452034
2458352.954441,40.313337,167015344.000000,12.451531
2458352.973732,40.313575,167015696.000000,12.451029
2458352.993022,40.313813,167014336.000000,12.450538
2458353.012312,40.314049,167013040.000000,12.450046
2458353.031602,40.314285,167012096.000000,12.449552
2458353.050892,40.314519,167012016.000000,12.449052
2458353.070182,40.314753,167013280.000000,12.448544
2458353.089472,40.314986,167013440.000000,12.448042
2458353.108762,40.315218,167011216.000000,12.447556
2458353.128053,40.315449,167011056.000000,12.447057
2458353.147343,40.315679,167010032.000000,12.446563
2458353.166633,40.315908,167009248.000000,12.446068
2458353.185923,40.316136,167011920.000000,12.445550
2458353.205213,40.316363,167010144.000000,12.445060
2458353.224503,40.316590,167008352.000000,12.444571
2458353.243793,40.316815,167008496.000000,12.444070
2458353.263083,40.317040,167006752.000000,12.443580
2458353.282374,40.317263,167007936.000000,12.443072
2458353.301664,40.317486,167008480.000000,12.442567
2458353.320954,40.317708,167006368.000000,12.442080
2458353.340244,40.317929,167006400.000000,12.441579
2458353.359534,40.318149,167005136.000000,12.441086
2458353.378824,40.318368,167004560.000000,12.440588
2458353.398114,40.318586,167006080.000000,12.440077
2458353.417404,40.318803,167005904.000000,12.439577
2458353.436695,40.319020,167005344.000000,12.439079
2458353.455985,40.319235,167003984.000000,12.438587
2458353.475275,40.319449,167003632.000000,12.438088
2458353.494565,40.319663,167002400.000000,12.437594
2458353.513855,40.319876,167004416.000000,12.437079
2458353.533145,40.320087,167003680.000000,12.436583
2458353.552435,40.320298,167002288.000000,12.436090
2458353.571725,40.320508,167001264.000000,12.435595
2458353.591015,40.320717,167000384.000000,12.435099
2458353.610306,40.320925,167001552.000000,12.434589
2458353.629596,40.321132,167001376.000000,12.434089
2458353.648886,40.321338,167000240.000000,12.433594
2458353.668176,40.321544,166999776.000000,12.433095
2458353.687466,40.321748,166999296.000000,12.432596
2458353.706756,40.321951,166998320.000000,12.432100
2458353.726046,40.322154,166998912.000000,12.431594
2458353.745336,40.322355,166999536.000000,12.431088
2458353.764627,40.322556,166997424.000000,12.430599
2458353.783917,40.322756,166997328.000000,12.430098
2458353.803207,40.322955,166996032.000000,12.429604
2458353.822497,40.323153,166996048.000000,12.429101
2458353.841787,40.323350,166997360.000000,12.428590
2458353.861077,40.323546,166997360.000000,12.428088
2458353.880367,40.323741,166996864.000000,12.427588
2458353.899657,40.323935,166995360.000000,12.427095
2458353.918948,40.324129,166993952.000000,12.426602
2458353.938238,40.324321,166994192.000000,12.426097
2458353.957528,40.324512,166995632.000000,12.425585
2458353.976818,40.324703,166995328.000000,12.425084
2458353.996108,40.324893,166993728.000000,12.424592
2458354.015398,40.325081,166992896.000000,12.424094
2458354.034688,40.325269,166991600.000000,12.423600
2458354.053978,40.325456,166992832.000000,12.423088
2458354.073269,40.325642,166993792.000000,12.422579
2458354.092559,40.325827,166991616.000000,12.422090
2458354.111849,40.326011,166991696.000000,12.421586
2458354.131139,40.326194,166990608.000000,12.421090
2458354.150429,40.326377,166990032.000000,12.420590
2458354.169719,40.326558,166991536.000000,12.420077
2458354.189009,40.326738,166991024.000000,12.419577
2458354.208299,40.326918,166990928.000000,12.419074
2458354.227590,40.327097,166989376.000000,12.418580
2458354.246880,40.327274,166988304.000000,12.418084
2458354.266170,40.327451,166988160.000000,12.417581
2458354.285460,40.327627,166989984.000000,12.417065
2458354.304750,40.327802,166988848.000000,12.416569
2458354.324040,40.327976,166988000.000000,12.416070
2458354.343330,40.328149,166987104.000000,12.415572
2458354.362620,40.328321,166986240.000000,12.415074
2458354.381911,40.328492,166987008.000000,12.414565
2458354.401201,40.328662,166987600.000000,12.414057
2458354.420491,40.328832,166987888.000000,12.413551
2458354.439781,40.329000,166985968.000000,12.413059
2458354.459071,40.329168,166986336.000000,12.412552
2458354.478361,40.329334,166984304.000000,12.412061
2458354.497651,40.329500,166985728.000000,12.411548
2458354.516941,40.329665,166986000.000000,12.411041
2458354.536232,40.329828,166986480.000000,12.410534
2458354.555522,40.329991,166983920.000000,12.410046
2458354.574812,40.330153,166982560.000000,12.409550
2458354.594102,40.330314,166982928.000000,12.409043
2458354.613392,40.330474,166984688.000000,12.408527
2458354.632682,40.330634,166984112.000000,12.408026
2458354.651972,40.330792,166983248.000000,12.407526
2458354.671262,40.330949,166981744.000000,12.407031
2458354.690553,40.331106,166981088.000000,12.406531
2458354.709843,40.331261,166981056.000000,12.406026
2458354.729133,40.331416,166982928.000000,12.405509
2458354.748423,40.331569,166982736.000000,12.405005
2458354.767713,40.331722,166980960.000000,12.404511
2458354.787003,40.331874,166981024.000000,12.404006
2458354.806293,40.332025,166979504.000000,12.403510
2458354.825583,40.332175,166980688.000000,12.402997
2458354.844874,40.332324,166981200.000000,12.402488
2458354.864164,40.332472,166979472.000000,12.401994
2458354.883454,40.332619,166979440.000000,12.401489
2458354.902744,40.332765,166977168.000000,12.400998
2458354.922034,40.332910,166977824.000000,12.400488
2458354.941324,40.333055,166979664.000000,12.399971
2458354.960614,40.333198,166979664.000000,12.399465
2458354.979904,40.333341,166977936.000000,12.398970
2458354.999195,40.333482,166977808.000000,12.398465
2458355.018485,40.333623,166976800.000000,12.397966
2458355.037775,40.333763,166977008.000000,12.397459
2458355.057065,40.333901,166978976.000000,12.396940
2458355.076355,40.334039,166977760.000000,12.396442
2458355.095645,40.334176,166976720.000000,12.395942
2458355.114935,40.334312,166975424.000000,12.395445
2458355.134225,40.334447,166975136.000000,12.394940
2458355.153515,40.334582,166976000.000000,12.394428
2458355.172806,40.334715,166977280.000000,12.393914
2458355.192096,40.334847,166977456.000000,12.393406
2458355.211386,40.334979,166974672.000000,12.392918
2458355.230676,40.335109,166974976.000000,12.392409
2458355.249966,40.335238,166973536.000000,12.391912
2458355.269256,40.335367,166975296.000000,12.391394
2458355.288546,40.335495,166975792.000000,12.390884
2458355.307836,40.335621,166974608.000000,12.390385
2458355.327127,40.335747,166973696.000000,12.389884
2458355.346417,40.335872,166972976.000000,12.389382
2458355.365707,40.335996,166972496.000000,12.388878
2458355.384997,40.336119,166974304.000000,12.388360
2458355.404287,40.336241,166973808.000000,12.387856
2458355.423577,40.336362,166972832.000000,12.387355
2458355.442867,40.336483,166972112.000000,12.386853
2458355.462157,40.336602,166971216.000000,12.386351
2458355.481448,40.336720,166971856.000000,12.385840
2458355.500738,40.336838,166973024.000000,12.385325
2458355.520028,40.336954,166972656.000000,12.384820
2458355.539318,40.337070,166971104.000000,12.384323
2458355.558608,40.337184,166971328.000000,12.383814
2458355.577898,40.337298,166969824.000000,12.383316
2458355.597188,40.337411,166971344.000000,12.382799
2458355.616478,40.337523,166972032.000000,12.382287
2458355.635769,40.337634,166970720.000000,12.381788
2458355.655059,40.337744,166969968.000000,12.381285
2458355.674349,40.337853,166970736.000000,12.380772
2458355.693639,40.337961,166969072.000000,12.380275
2458355.712929,40.338068,166971936.000000,12.379749
2458355.732219,40.338174,166970576.000000,12.379249
2458355.751509,40.338280,166969296.000000,12.378750
2458355.770799,40.338384,166968400.000000,12.378248
2458355.790090,40.338488,166967920.000000,12.377743
2458355.809380,40.338590,166968288.000000,12.377232
2458355.828670,40.338692,166970240.000000,12.376711
2458355.847960,40.338792,166969392.000000,12.376208
2458355.867250,40.338892,166968272.000000,12.375707
2458355.886540,40.338991,166967760.000000,12.375202
2458355.905830,40.339089,166966480.000000,12.374702
2458355.925120,40.339186,166968096.000000,12.374183
2458355.944411,40.339282,166968656.000000,12.373671
2458355.963701,40.339377,166967200.000000,12.373172
2458355.982991,40.339471,166967168.000000,12.372663
2458356.002281,40.339564,166967136.000000,12.372155
2458356.021571,40.339656,166965520.000000,12.371657
2458356.040861,40.339748,166968208.000000,12.371130
2458356.060151,40.339838,166967632.000000,12.370625
2458356.079441,40.339928,166967744.000000,12.370115
2458356.098732,40.340016,166965712.000000,12.369620
2458356.118022,40.340104,166965648.000000,12.369111
2458356.137312,40.340191,166965360.000000,12.368604
2458356.156602,40.340276,166967296.000000,12.368082
2458356.175892,40.340361,166966480.000000,12.367578
2458356.195182,40.340445,166965840.000000,12.367073
2458356.214472,40.340528,166964864.000000,12.366570
2458356.233762,40.340610,166963552.000000,12.366069
2458356.253053,40.340691,166964592.000000,12.365553
2458356.272343,40.340771,166966128.000000,12.365034
2458356.291633,40.340850,166966128.000000,12.364524
2458356.310923,40.340928,166964688.000000,12.364024
2458356.330213,40.341006,166966560.000000,12.363502
2458356.349503,40.341082,166963360.000000,12.363013
2458356.368793,40.341158,166964912.000000,12.362493
2458356.388083,40.341232,166964544.000000,12.361986
2458356.407374,40.341306,166963280.000000,12.361484
2458356.426664,40.341378,166963440.000000,12.360973
2458356.445954,40.341450,166963296.000000,12.360464
2458356.465244,40.341521,166962336.000000,12.359960
2458356.484534,40.341591,166964704.000000,12.359435
2458356.503824,40.341660,166964096.000000,12.358929
2458356.523114,40.341728,166963216.000000,12.358424
2458356.542404,40.341795,166962624.000000,12.357918
2458356.561695,40.341861,166961584.000000,12.357414
2458356.580985,40.341926,166962336.000000,12.356899
2458356.600275,40.341990,166964048.000000,12.356377
2458356.619565,40.342053,166963040.000000,12.355873
2458356.638855,40.342116,166962064.000000,12.355369
2458356.658145,40.342177,166962240.000000,12.354857
2458356.677435,40.342237,166960944.000000,12.354355
2458356.696725,40.342297,166963152.000000,12.353830
2458356.716015,40.342356,166962496.000000,12.353324
2458356.735306,40.342413,166961760.000000,12.352818
2458356.754596,40.342470,166961296.000000,12.352310
2458356.773886,40.342526,166961824.000000,12.351795
2458356.793176,40.342580,166960448.000000,12.351293
2458356.812466,40.342634,166962368.000000,12.350770
2458356.831756,40.342687,166961440.000000,12.350265
2458356.851046,40.342739,166961664.000000,12.349752
2458356.870336,40.342790,166961328.000000,12.349243
2458356.889627,40.342841,166960240.000000,12.348739
2458356.908917,40.342890,166960256.000000,12.348228
2458356.928207,40.342938,166961712.000000,12.347707
2458356.947497,40.342985,166961680.000000,12.347195
2458356.966787,40.343032,166960560.000000,12.346691
2458356.986077,40.343077,166960176.000000,12.346182
2458357.005367,40.343122,166959072.000000,12.345678
2458357.024657,40.343165,166961440.000000,12.345151
2458357.043948,40.343208,166961232.000000,12.344640
2458357.063238,40.343249,166960608.000000,12.344133
2458357.082528,40.343290,166960496.000000,12.343622
2458357.101818,40.343330,166959616.000000,12.343116
2458357.121108,40.343369,166959104.000000,12.342607
2458357.140398,40.343407,166960592.000000,12.342085
2458357.159688,40.343444,166960864.000000,12.341571
2458357.178978,40.343480,166959136.000000,12.341071
2458357.198269,40.343515,166959488.000000,12.340556
2458357.217559,40.343549,166959056.000000,12.340047
2458357.236849,40.343582,166959088.000000,12.339534
2458357.256139,40.343615,166960768.000000,12.339011
2458357.275429,40.343646,166960192.000000,12.338502
2458357.294719,40.343676,166959600.000000,12.337994
2458357.314009,40.343706,166958864.000000,12.337486
2458357.333299,40.343734,166958000.000000,12.336979
2458357.352590,40.343762,166959568.000000,12.336457
2458357.371880,40.343788,166960624.000000,12.335937
2458357.391170,40.343814,166959792.000000,12.335430
2458357.410460,40.343839,166959312.000000,12.334920
2458357.429750,40.343863,166958480.000000,12.334413
2458357.449040,40.343885,166957888.000000,12.333904
2458357.468330,40.343907,166958688.000000,12.333386
2458357.487620,40.343928,166959936.000000,12.332865
2458357.506911,40.343948,166960096.000000,12.332350
2458357.526201,40.343967,166958656.000000,12.331847
2458357.545491,40.343986,166958240.000000,12.331336
2458357.564781,40.344003,166957824.000000,12.330826
2458357.584071,40.344019,166959440.000000,12.330302
2458357.603361,40.344034,166959296.000000,12.329790
2458357.622651,40.344049,166959088.000000,12.329278
2458357.641941,40.344062,166958736.000000,12.328767
2458357.661232,40.344075,166957632.000000,12.328260
2458357.680522,40.344086,166958576.000000,12.327741
2458357.699812,40.344097,166959712.000000,12.327220
2458357.719102,40.344106,166959808.000000,12.326705
2458357.738392,40.344115,166958368.000000,12.326201
2458357.757682,40.344123,166956352.000000,12.325700
2458357.776972,40.344130,166957200.000000,12.325181
2458357.796262,40.344136,166959184.000000,12.324654
2458357.815553,40.344141,166960160.000000,12.324134
2458357.834843,40.344145,166959840.000000,12.323622
2458357.854133,40.344148,166958480.000000,12.323117
2458357.873423,40.344150,166957824.000000,12.322607
2458357.892713,40.344151,166958288.000000,12.322090
2458357.912003,40.344151,166959776.000000,12.321566
2458357.931293,40.344150,166959328.000000,12.321055
2458357.950583,40.344149,166959072.000000,12.320542
