JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458350.215244,169.067077,153608.687500,20.100628
2458350.234534,169.061667,153967.093750,20.098019
2458350.253824,169.056253,154270.062500,20.095806
2458350.273114,169.050832,154560.187500,20.093688
2458350.292404,169.045406,154727.937500,20.092431
2458350.311695,169.039974,154995.500000,20.090477
2458350.330985,169.034536,155117.343750,20.089545
2458350.350275,169.029093,155285.546875,20.088290
2458350.369565,169.023644,155668.218750,20.085539
2458350.388855,169.018189,155974.171875,20.083328
2458350.408145,169.012729,156149.484375,20.082030
2458350.427435,169.007263,156297.906250,20.080920
2458350.446725,169.001791,156553.562500,20.079067
2458350.466015,168.996314,156763.515625,20.077533
2458350.485306,168.990831,157088.859375,20.075204
2458350.504596,168.985342,157588.156250,20.071679
2458350.523886,168.979848,157616.531250,20.071405
2458350.543176,168.974348,157655.187500,20.071060
2458350.562466,168.968843,157947.921875,20.068968
2458350.581756,168.963331,158178.734375,20.067303
2458350.601046,168.957815,158465.140625,20.065261
2458350.620336,168.952292,158741.953125,20.063287
2458350.639627,168.946764,158979.265625,20.061586
2458350.658917,168.941231,159387.265625,20.058725
2458350.678207,168.935692,159469.437500,20.058086
2458350.697497,168.930147,159648.265625,20.056791
2458350.716787,168.924597,159994.609375,20.054359
2458350.736077,168.919041,160290.828125,20.052272
2458350.755367,168.913479,160369.390625,20.051661
2458350.774657,168.907912,160587.953125,20.050104
2458350.793948,168.902340,161028.687500,20.047049
2458350.813238,168.896762,161086.687500,20.046579
2458350.832528,168.891178,161439.656250,20.044124
2458350.851818,168.885589,161580.203125,20.043100
2458350.871108,168.879995,161784.234375,20.041651
2458350.890398,168.874395,161994.937500,20.040160
2458350.909688,168.868789,162248.015625,20.038386
2458350.928978,168.863178,162578.062500,20.036101
2458350.948269,168.857561,162686.781250,20.035296
2458350.967559,168.851939,163079.578125,20.032599
2458350.986849,168.846311,163423.906250,20.030230
2458351.006139,168.840678,163443.296875,20.030022
2458351.025429,168.835040,163778.531250,20.027718
2458351.044719,168.829396,164127.890625,20.025326
2458351.064009,168.823747,164344.500000,20.023815
2458351.083299,168.818092,164509.546875,20.022646
2458351.102590,168.812431,164681.328125,20.021434
2458351.121880,168.806766,165180.375000,20.018070
2458351.141170,168.801094,165266.765625,20.017423
2458351.160460,168.795418,165460.890625,20.016070
2458351.179750,168.789736,165858.703125,20.013384
2458351.199040,168.784048,165972.546875,20.012560
2458351.218330,168.778356,166210.859375,20.010923
2458351.237620,168.772657,166546.921875,20.008651
2458351.256911,168.766954,166808.843750,20.006865
2458351.276201,168.761245,166485.578125,20.008893
2458351.295491,168.755530,167323.062500,20.003366
2458351.314781,168.749811,167710.562500,20.000775
2458351.334071,168.744086,167823.156250,19.999967
2458351.353361,168.738355,168071.593750,19.998282
2458351.372651,168.732619,168461.703125,19.995686
2458351.391941,168.726878,168535.500000,19.995131
2458351.411232,168.721132,168807.843750,19.993299
2458351.430522,168.715380,169228.468750,19.990518
